Title,URL,Creator,Journal,Year,Citations,processed_text,SDG_Category
Similirity: Kreasi Pengetahuan Organisasi: Sebuah Kajian Kritis Teoretis terhadap SECI Model,https://scholar.google.com/scholar?q=+intitle:'Similirity: Kreasi Pengetahuan Organisasi: Sebuah Kajian Kritis Teoretis terhadap SECI Model',Tidak ditemukan,"FISIP Unila, 2022",2022,0,similirity kreasi pengetahuan organisasi sebuah kajian kritis teoretis terhadap seci model,Pendidikan Berkualitas
PENGEMBANGAN EKOSISTEM INDUSTRI KREATIF KULINER DENGAN MENGGUNAKAN HELIX MODEL (Kajian Sub Sektor Kuliner di Kota Bandar Lampung),https://scholar.google.com/scholar?q=+intitle:'PENGEMBANGAN EKOSISTEM INDUSTRI KREATIF KULINER DENGAN MENGGUNAKAN HELIX MODEL (Kajian Sub Sektor Kuliner di Kota Bandar Lampung)',Tidak ditemukan,"KOLONI 1 (4), 704-713, 2022",2022,0,pengembangan ekosistem industri kreatif kuliner menggunakan helix model kajian sub sektor kuliner kota bandar lampung,Kota dan Permukiman Berkelanjutan
"Strategi Penguatan Kapabilitas Dinamik Personal, Modal Sosial dan Kearifan Lokal dan Trust dalam Pencegahan Politik Uang di Lampung","https://scholar.google.com/scholar?q=+intitle:'Strategi Penguatan Kapabilitas Dinamik Personal, Modal Sosial dan Kearifan Lokal dan Trust dalam Pencegahan Politik Uang di Lampung'",Tidak ditemukan,"Wacana Publik 16 (2), 2022",2022,0,strategi penguatan kapabilitas dinamik personal modal sosial kearifan lokal trust pencegahan politik uang lampung,Konsumsi dan Produksi Bertanggung Jawab
Impact of green management and earning management of energy companies in Indonesia,https://scholar.google.com/scholar?q=+intitle:'Impact of green management and earning management of energy companies in Indonesia',Tidak ditemukan,"International Journal of Energy Economics and Policy 12 (3), 192-196, 2022",2022,3,impact of green management and earning management of energy companies in indonesia,Energi Bersih dan Terjangkau
Effect of Green Management and Earning Management of Energy Companies in Indonesia,https://scholar.google.com/scholar?q=+intitle:'Effect of Green Management and Earning Management of Energy Companies in Indonesia',Tidak ditemukan,"International Journal of Energy Economics and Policy, 2022, 12 (3), 192-196., 2022",2022,2,effect of green management and earning management of energy companies in indonesia,Energi Bersih dan Terjangkau
Pelatihan penyusunan perangkat pembelajaran IPA bagi guru SD dalam rangka menghadapi tantangan revolusi industri 4.0,https://scholar.google.com/scholar?q=+intitle:'Pelatihan penyusunan perangkat pembelajaran IPA bagi guru SD dalam rangka menghadapi tantangan revolusi industri 4.0',Tidak ditemukan,"Jurnal Pengabdian Masyarakat MIPA Dan Pendidikan MIPA 6 (1), 29-34, 2022",2022,3,pelatihan penyusunan perangkat pembelajaran ipa bagi guru sd rangka menghadapi tantangan revolusi industri 40,Pendidikan Berkualitas
Pelatihan Penulisan Karya Ilmiah bagi Guru Sekolah Dasar,https://scholar.google.com/scholar?q=+intitle:'Pelatihan Penulisan Karya Ilmiah bagi Guru Sekolah Dasar',Tidak ditemukan,"Jurnal Pengabdian kepada Masyarakat 2 (1), 81-86, 2022",2022,0,pelatihan penulisan karya ilmiah bagi guru sekolah dasar,Pendidikan Berkualitas
Pelatihan Pembuatan Penelitian Tindakan Kelas pada Guru-Guru SD Kecamatan Kota Gajah Lampung Tengah,https://scholar.google.com/scholar?q=+intitle:'Pelatihan Pembuatan Penelitian Tindakan Kelas pada Guru-Guru SD Kecamatan Kota Gajah Lampung Tengah',Tidak ditemukan,"Jurnal Pengabdian Masyarakat Ilmu Pendidikan 1 (01), 2022",2022,0,pelatihan pembuatan penelitian tindakan kelas guruguru sd kecamatan kota gajah lampung tengah,Pendidikan Berkualitas
Analisis Faktor Kesulitan Belajar Matematika Masa Pandemi Covid-19 Pada Peserta Didik Kelas Iv Sds Tri Sukses,https://scholar.google.com/scholar?q=+intitle:'Analisis Faktor Kesulitan Belajar Matematika Masa Pandemi Covid-19 Pada Peserta Didik Kelas Iv Sds Tri Sukses',Tidak ditemukan,"Jurnal Pendidikan Matematika Universitas Lampung 10 (2), 128-141, 2022",2022,1,analisis faktor kesulitan belajar matematika masa pandemi covid19 peserta didik kelas iv sds tri sukses,Pendidikan Berkualitas
The Empowerment of Critical and Creative Thinking (CCT) Skills through Inquiry Social Complexity (ISC)-based Student Worksheets,https://scholar.google.com/scholar?q=+intitle:'The Empowerment of Critical and Creative Thinking (CCT) Skills through Inquiry Social Complexity (ISC)-based Student Worksheets',Tidak ditemukan,"WSEAS Transactions on Environment and Development,(18), 865-872, 2022",2022,2,the empowerment of critical and creative thinking cct skills through inquiry social complexity iscbased student worksheets,Pendidikan Berkualitas
Empowerment of Critical and Creative Thinking (CCT) Skills Through Student Worksheets Based on Inquiry Social Complexity (ISC),https://scholar.google.com/scholar?q=+intitle:'Empowerment of Critical and Creative Thinking (CCT) Skills Through Student Worksheets Based on Inquiry Social Complexity (ISC)',Tidak ditemukan,"WSEAS Transactions on Environment and Development 18, 865-872, 2022",2022,2,empowerment of critical and creative thinking cct skills through student worksheets based on inquiry social complexity isc,Pendidikan Berkualitas
Parent and Teacher Perceptions of Elementary School Zoning System Policy,https://scholar.google.com/scholar?q=+intitle:'Parent and Teacher Perceptions of Elementary School Zoning System Policy',Tidak ditemukan,"Terampil: Jurnal Pendidikan dan Pembelajaran Dasar 9 (2), 139-149, 2022",2022,0,parent and teacher perceptions of elementary school zoning system policy,Pendidikan Berkualitas
The formation of character among students of primary school teacher education in a public higher education institution in Indonesia,https://scholar.google.com/scholar?q=+intitle:'The formation of character among students of primary school teacher education in a public higher education institution in Indonesia',Tidak ditemukan,"International Journal of Educational Studies in Social Sciences (IJESSS) 1 …, 2022",2022,3,the formation of character among students of primary school teacher education in a public higher education institution in indonesia,Pendidikan Berkualitas
"Pengaruh Penerapan Model Pembelajaran Inkuiri Peserta Didik SDN 2 Campang Raya, Sukabumi Bandar lampung","https://scholar.google.com/scholar?q=+intitle:'Pengaruh Penerapan Model Pembelajaran Inkuiri Peserta Didik SDN 2 Campang Raya, Sukabumi Bandar lampung'",Tidak ditemukan,"Terampil: Jurnal Pendidikan dan Pembelajaran Dasar 8 (2), 161-169, 2022",2022,1,pengaruh penerapan model pembelajaran inkuiri peserta didik sdn 2 campang raya sukabumi bandar lampung,Pendidikan Berkualitas
Implementation of HOTS-Oriented Problem Based Learning on Science Literacy Ability,https://scholar.google.com/scholar?q=+intitle:'Implementation of HOTS-Oriented Problem Based Learning on Science Literacy Ability',Tidak ditemukan,"Jurnal Pendidikan Progresif 12 (3), 1492-1499, 2022",2022,4,implementation of hotsoriented problem based learning on science literacy ability,Pendidikan Berkualitas
Peningkatan jiwa entrepreneurship bagi pengelola media komunitas,https://scholar.google.com/scholar?q=+intitle:'Peningkatan jiwa entrepreneurship bagi pengelola media komunitas',Tidak ditemukan,"Al-Mu'awanah 3 (1), 1-11, 2022",2022,2,peningkatan jiwa entrepreneurship bagi pengelola media komunitas,"Industri, Inovasi dan Infrastruktur"
Civilisation In Character Formation Through Educational Institutions,https://scholar.google.com/scholar?q=+intitle:'Civilisation In Character Formation Through Educational Institutions',Tidak ditemukan,"Al-Akmal: Jurnal Studi Islam 1 (2), 38-51, 2022",2022,10,civilisation in character formation through educational institutions,Pendidikan Berkualitas
The Positive Impact of Internet-Based Resources to Encourage Students’ Vocabulary Aspect,https://scholar.google.com/scholar?q=+intitle:'The Positive Impact of Internet-Based Resources to Encourage Students’ Vocabulary Aspect',Tidak ditemukan,"Tapis: Jurnal Penelitian Ilmiah 6 (2), 166-175, 2022",2022,11,the positive impact of internetbased resources to encourage students vocabulary aspect,Pendidikan Berkualitas
Pelatihan Budidaya Jamur Tiram Untuk Peningkatan Pendapatan Petani di Desa Bandar Sari,https://scholar.google.com/scholar?q=+intitle:'Pelatihan Budidaya Jamur Tiram Untuk Peningkatan Pendapatan Petani di Desa Bandar Sari',Tidak ditemukan,"Padang Ratu 1 (06), 664-670, 2022",2022,2,pelatihan budidaya jamur tiram peningkatan pendapatan petani desa bandar sari,Pekerjaan Layak dan Pertumbuhan Ekonomi
PERANCANG ULANG (REDESIGN) SISTEM STEERING PADA MOBIL ATV BUGGY,https://scholar.google.com/scholar?q=+intitle:'PERANCANG ULANG (REDESIGN) SISTEM STEERING PADA MOBIL ATV BUGGY',Tidak ditemukan,"Universitas Islam Kalimantan MAB, 2022",2022,0,perancang ulang redesign sistem steering mobil atv buggy,"Industri, Inovasi dan Infrastruktur"
Analisis Hirarki Kebutuhan Édith Piaf dalam Film La Vie En Rose Karya Olivier Dahan: Kajian Psikologi Humanistik Abraham Maslow,https://scholar.google.com/scholar?q=+intitle:'Analisis Hirarki Kebutuhan Édith Piaf dalam Film La Vie En Rose Karya Olivier Dahan: Kajian Psikologi Humanistik Abraham Maslow',Tidak ditemukan,"PRANALA (Jurnal Pendidikan Bahasa Prancis) 5 (2), 2022",2022,0,analisis hirarki kebutuhan édith piaf film la vie en rose karya olivier dahan kajian psikologi humanistik abraham maslow,Pendidikan Berkualitas
Feminisme dalam film Sœurs d'Arme karya Caroline Fourest,https://scholar.google.com/scholar?q=+intitle:'Feminisme dalam film Sœurs d'Arme karya Caroline Fourest',Tidak ditemukan,"PRANALA (Jurnal Pendidikan Bahasa Prancis) 5 (2), 2022",2022,0,feminisme film sœurs darme karya caroline fourest,Kesetaraan Gender
Analisis Makna dan Pesan Moral dalam Album Lagu Racine Carrée Karya Stromae,https://scholar.google.com/scholar?q=+intitle:'Analisis Makna dan Pesan Moral dalam Album Lagu Racine Carrée Karya Stromae',Tidak ditemukan,"PRANALA (Jurnal Pendidikan Bahasa Prancis) 5 (2), 2022",2022,1,analisis makna pesan moral album lagu racine carrée karya stromae,"Perdamaian, Keadilan dan Kelembagaan"
Penggunaan Media Aplikasi Mondly Untuk Meningkatkan Keterampilan Menyimak dalam Pembelajaran Bahasa Prancis di Kelas X SMAN 16 Bandar Lampung,https://scholar.google.com/scholar?q=+intitle:'Penggunaan Media Aplikasi Mondly Untuk Meningkatkan Keterampilan Menyimak dalam Pembelajaran Bahasa Prancis di Kelas X SMAN 16 Bandar Lampung',Tidak ditemukan,"FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN, 2022",2022,5,penggunaan media aplikasi mondly meningkatkan keterampilan menyimak pembelajaran bahasa prancis kelas x sman 16 bandar lampung,Pendidikan Berkualitas
Phonetic Error Analysis Of Speaking Skills In French Students Through Video Media.,https://scholar.google.com/scholar?q=+intitle:'Phonetic Error Analysis Of Speaking Skills In French Students Through Video Media.',Tidak ditemukan,"KATA 10 (2), 118-124, 2022",2022,0,phonetic error analysis of speaking skills in french students through video media,Pendidikan Berkualitas
Analisis Pengaruh Sistem Informasi Geografis Dalam Meningkatkan Kemampuan Berpikir Spasial (Spatial Thinking Ability),https://scholar.google.com/scholar?q=+intitle:'Analisis Pengaruh Sistem Informasi Geografis Dalam Meningkatkan Kemampuan Berpikir Spasial (Spatial Thinking Ability)',Tidak ditemukan,"Jurnal Penelitian Geografi (JPG) 10 (1), 2022",2022,2,analisis pengaruh sistem informasi geografis meningkatkan kemampuan berpikir spasial spatial thinking ability,Kota dan Permukiman Berkelanjutan
Pengaruh Penerapan Pembelajaran Contextual Teaching And Learning (CTL) Pada Bidang Studi Al-Qur’an Hadist Terhadap Motivasi Belajar Siswa Kelas VIII MTs Madinatul Ilmi Lubuk …,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Penerapan Pembelajaran Contextual Teaching And Learning (CTL) Pada Bidang Studi Al-Qur’an Hadist Terhadap Motivasi Belajar Siswa Kelas VIII MTs Madinatul Ilmi Lubuk …',Tidak ditemukan,"Al-Ulum: Jurnal Pendidikan Islam 3 (2), 112-125, 2022",2022,0,pengaruh penerapan pembelajaran contextual teaching and learning ctl bidang studi alquran hadist terhadap motivasi belajar siswa kelas viii mts madinatul ilmi lubuk,Pendidikan Berkualitas
Development of Virtual Tourism-Based Interactive Multimedia in Tourism Geography Learning,https://scholar.google.com/scholar?q=+intitle:'Development of Virtual Tourism-Based Interactive Multimedia in Tourism Geography Learning',Tidak ditemukan,"International Journal of Research and Review 9, 535-544, 2022",2022,1,development of virtual tourismbased interactive multimedia in tourism geography learning,Pendidikan Berkualitas
Forecasting Model for State-Owned Bank Stock Prices During Pandemic: GARCH Model Application,https://scholar.google.com/scholar?q=+intitle:'Forecasting Model for State-Owned Bank Stock Prices During Pandemic: GARCH Model Application',Tidak ditemukan,"ICEBE 2021: Proceedings of the 4th International Conference of Economics …, 2022",2022,0,forecasting model for stateowned bank stock prices during pandemic garch model application,Penanganan Perubahan Iklim
Analysis of the Impact of the Covid-19 Pandemic on the Financial Performance of Provincial Governments in Indonesia,https://scholar.google.com/scholar?q=+intitle:'Analysis of the Impact of the Covid-19 Pandemic on the Financial Performance of Provincial Governments in Indonesia',Tidak ditemukan,"ICEBE 2021: Proceedings of the 4th International Conference of Economics …, 2022",2022,0,analysis of the impact of the covid19 pandemic on the financial performance of provincial governments in indonesia,Penanganan Perubahan Iklim
The effect of sports performance and financial performance on European soccer club stock prices,https://scholar.google.com/scholar?q=+intitle:'The effect of sports performance and financial performance on European soccer club stock prices',Tidak ditemukan,,2022,15,the effect of sports performance and financial performance on european soccer club stock prices,Konsumsi dan Produksi Bertanggung Jawab
Financial accountability on local government and regional economic growth,https://scholar.google.com/scholar?q=+intitle:'Financial accountability on local government and regional economic growth',Tidak ditemukan,"JPPI (Jurnal Penelitian Pendidikan Indonesia) 8 (3), 632-639, 2022",2022,5,financial accountability on local government and regional economic growth,Kota dan Permukiman Berkelanjutan
Kinerja Pemerintah Daerah dan Political Budget: Pengaruhnya terhadap Perolehan Suara Incumbent pada Pemilukada,https://scholar.google.com/scholar?q=+intitle:'Kinerja Pemerintah Daerah dan Political Budget: Pengaruhnya terhadap Perolehan Suara Incumbent pada Pemilukada',Tidak ditemukan,"Penerbit NEM, 2022",2022,1,kinerja pemerintah daerah political budget pengaruhnya terhadap perolehan suara incumbent pemilukada,Pekerjaan Layak dan Pertumbuhan Ekonomi
Pengaruh Insentif Terhadap Kinerja Karyawan dengan Kepuaan Kerja sebagai Variabel Mediasi (Studi Pada Karyawan Perhotelan Bintang 3 Di Provinsi Lampung),https://scholar.google.com/scholar?q=+intitle:'Pengaruh Insentif Terhadap Kinerja Karyawan dengan Kepuaan Kerja sebagai Variabel Mediasi (Studi Pada Karyawan Perhotelan Bintang 3 Di Provinsi Lampung)',Tidak ditemukan,"E-journal Field of Economics, Business and Entrepreneurship (EFEBE) 1 (2 …, 2022",2022,2,pengaruh insentif terhadap kinerja karyawan kepuaan kerja variabel mediasi studi karyawan perhotelan bintang 3 provinsi lampung,Konsumsi dan Produksi Bertanggung Jawab
Pengaruh Kinerja Keuangan terhadap Nilai Perusahaan pada Perusahaan Digital Startup,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Kinerja Keuangan terhadap Nilai Perusahaan pada Perusahaan Digital Startup',Tidak ditemukan,"Goodwood Akuntansi dan Auditing Reviu 1 (1), 15-28, 2022",2022,13,pengaruh kinerja keuangan terhadap nilai perusahaan perusahaan digital startup,"Industri, Inovasi dan Infrastruktur"
"Pengaruh Political Visibility, Profitabilitas, Dan Leverage Perusahaan Terhadap Pengungkapan Corporate Social Responsibility (Studi Empiris Pada Industri Pertambangan Yang …","https://scholar.google.com/scholar?q=+intitle:'Pengaruh Political Visibility, Profitabilitas, Dan Leverage Perusahaan Terhadap Pengungkapan Corporate Social Responsibility (Studi Empiris Pada Industri Pertambangan Yang …'",Tidak ditemukan,"FAKULTAS EKONOMI DAN BISNIS, 2022",2022,0,pengaruh political visibility profitabilitas leverage perusahaan terhadap pengungkapan corporate social responsibility studi empiris industri pertambangan,Konsumsi dan Produksi Bertanggung Jawab
Perbandingan Kinerja Keuangan Pemerintah Daerah Antara Pemerintah Kabupaten dan Pemerintah Kota (Studi Kasus Pada Kabupaten/Kota Di Pulau Sumatera Tahun 2015-2019),https://scholar.google.com/scholar?q=+intitle:'Perbandingan Kinerja Keuangan Pemerintah Daerah Antara Pemerintah Kabupaten dan Pemerintah Kota (Studi Kasus Pada Kabupaten/Kota Di Pulau Sumatera Tahun 2015-2019)',Tidak ditemukan,"E-journal Field of Economics, Business and Entrepreneurship (EFEBE) 1 (1), 59-70, 2022",2022,0,perbandingan kinerja keuangan pemerintah daerah antara pemerintah kabupaten pemerintah kota studi kasus kabupatenkota pulau sumatera tahun 20152019,Kota dan Permukiman Berkelanjutan
Does the social assistance budget realization affect incumbents' votes?(Study in Indonesia Local Election),https://scholar.google.com/scholar?q=+intitle:'Does the social assistance budget realization affect incumbents' votes?(Study in Indonesia Local Election)',Tidak ditemukan,"International Journal of Professional Business Review: Int. J. Prof. Bus …, 2022",2022,3,does the social assistance budget realization affect incumbents votesstudy in indonesia local election,Pekerjaan Layak dan Pertumbuhan Ekonomi
"Transparansi, Hasil Audit Laporan Keuangan dan Korupsi pada Pemerintah Provinsi di Indonesia","https://scholar.google.com/scholar?q=+intitle:'Transparansi, Hasil Audit Laporan Keuangan dan Korupsi pada Pemerintah Provinsi di Indonesia'",Tidak ditemukan,"E-Jurnal Akuntansi 32 (9), 2721-2735, 2022",2022,6,transparansi hasil audit laporan keuangan korupsi pemerintah provinsi indonesia,Konsumsi dan Produksi Bertanggung Jawab
Fraud Detection of Financial Statements through the Fraud Hexagon Approach in Indonesian SOEs,https://scholar.google.com/scholar?q=+intitle:'Fraud Detection of Financial Statements through the Fraud Hexagon Approach in Indonesian SOEs',Tidak ditemukan,"Asian Journal of Economics, Business and Accounting 22 (22), 45-58, 2022",2022,5,fraud detection of financial statements through the fraud hexagon approach in indonesian soes,Konsumsi dan Produksi Bertanggung Jawab
Similarity Check DOES THE SOCIAL ASSISTANCE BUDGET REALIZATION AFFECT INCUMBENTS'VOTES?(STUDY IN INDONESIA LOCAL ELECTION),https://scholar.google.com/scholar?q=+intitle:'Similarity Check DOES THE SOCIAL ASSISTANCE BUDGET REALIZATION AFFECT INCUMBENTS'VOTES?(STUDY IN INDONESIA LOCAL ELECTION)',Tidak ditemukan,"JPB Review, 2022",2022,0,similarity check does the social assistance budget realization affect incumbentsvotesstudy in indonesia local election,Kesetaraan Gender
Similarity Check PENGARUH CORPORATE GOVERNANCE DAN INTELLECTUAL CAPITAL TERHADAP NILAI PERUSAHAAN,https://scholar.google.com/scholar?q=+intitle:'Similarity Check PENGARUH CORPORATE GOVERNANCE DAN INTELLECTUAL CAPITAL TERHADAP NILAI PERUSAHAAN',Tidak ditemukan,"Fakultas Ekonomi dan Bisnis Universitas Lampung, 2022",2022,0,similarity check pengaruh corporate governance intellectual capital terhadap nilai perusahaan,"Industri, Inovasi dan Infrastruktur"
Similarity Check Pengaruh Kinerja Keuangan terhadap Nilai Perusahaan pada Perusahaan Digital Startup (The Effect of Financial Performance on Company Value in Digital Startup …,https://scholar.google.com/scholar?q=+intitle:'Similarity Check Pengaruh Kinerja Keuangan terhadap Nilai Perusahaan pada Perusahaan Digital Startup (The Effect of Financial Performance on Company Value in Digital Startup …',Tidak ditemukan,"Penerbit Goodwood, 2022",2022,0,similarity check pengaruh kinerja keuangan terhadap nilai perusahaan perusahaan digital startup the effect of financial performance on company value in digital startup,"Industri, Inovasi dan Infrastruktur"
Similarity Check Pengaruh Board Diversity Terhadap Konservatisme Akuntansi (Studi Empiris Pada Perusahaan Yang Terdaftar Di Bursa Efek Indonesia 2017-2019),https://scholar.google.com/scholar?q=+intitle:'Similarity Check Pengaruh Board Diversity Terhadap Konservatisme Akuntansi (Studi Empiris Pada Perusahaan Yang Terdaftar Di Bursa Efek Indonesia 2017-2019)',Tidak ditemukan,"Faculty of Economics Department Universitas Widyatama, 2022",2022,0,similarity check pengaruh board diversity terhadap konservatisme akuntansi studi empiris perusahaan terdaftar bursa efek indonesia 20172019,Konsumsi dan Produksi Bertanggung Jawab
Similarity Report Financial accountability on local government and regional economic growth,https://scholar.google.com/scholar?q=+intitle:'Similarity Report Financial accountability on local government and regional economic growth',Tidak ditemukan,"Indonesian Institute for Counseling, Education and Theraphy, 2022",2022,0,similarity report financial accountability on local government and regional economic growth,Kota dan Permukiman Berkelanjutan
"Similarity Check Transparansi, Hasil Audit Laporan Keuangan dan Korupsi pada Pemerintah Provinsi di Indonesia","https://scholar.google.com/scholar?q=+intitle:'Similarity Check Transparansi, Hasil Audit Laporan Keuangan dan Korupsi pada Pemerintah Provinsi di Indonesia'",Tidak ditemukan,"Accounting Department, Faculty of Economics and Business, Udayana University, 2022",2022,0,similarity check transparansi hasil audit laporan keuangan korupsi pemerintah provinsi indonesia,"Industri, Inovasi dan Infrastruktur"
Similariy Report Implementation of Discretionary Accrual in Local Governments and Motivation of Local Government Incentives: Literature Review,https://scholar.google.com/scholar?q=+intitle:'Similariy Report Implementation of Discretionary Accrual in Local Governments and Motivation of Local Government Incentives: Literature Review',Tidak ditemukan,"SCIENCEDOMAIN INTERNATIONAL, 2022",2022,0,similariy report implementation of discretionary accrual in local governments and motivation of local government incentives literature review,Konsumsi dan Produksi Bertanggung Jawab
Similarity Check The effect of sports performance and financial performance on European soccer club stock prices,https://scholar.google.com/scholar?q=+intitle:'Similarity Check The effect of sports performance and financial performance on European soccer club stock prices',Tidak ditemukan,"Lighthouse Publishing, 2022",2022,0,similarity check the effect of sports performance and financial performance on european soccer club stock prices,Konsumsi dan Produksi Bertanggung Jawab
Similarity Check PENGARUH INSENTIF TERHADAP KINERJA KARYAWAN DENGAN KEPUAAN KERJA SEBAGAI VARIABEL MEDIASI (Studi pada Karyawan Perhotelan Bintang 3 di Provinsi Lampung),https://scholar.google.com/scholar?q=+intitle:'Similarity Check PENGARUH INSENTIF TERHADAP KINERJA KARYAWAN DENGAN KEPUAAN KERJA SEBAGAI VARIABEL MEDIASI (Studi pada Karyawan Perhotelan Bintang 3 di Provinsi Lampung)',Tidak ditemukan,"Fakultas Ekonomi dan Bisnis Universitas Lampung, 2022",2022,0,similarity check pengaruh insentif terhadap kinerja karyawan kepuaan kerja variabel mediasi studi karyawan perhotelan bintang 3 provinsi lampung,Kemitraan untuk Mencapai Tujuan
Similarity Report Fraud Detection of Financial Statements through the Fraud Hexagon Approach in Indonesian SOEs,https://scholar.google.com/scholar?q=+intitle:'Similarity Report Fraud Detection of Financial Statements through the Fraud Hexagon Approach in Indonesian SOEs',Tidak ditemukan,"SCIENCEDOMAIN INTERNATIONAL, 2022",2022,0,similarity report fraud detection of financial statements through the fraud hexagon approach in indonesian soes,Konsumsi dan Produksi Bertanggung Jawab
Similarity Check PERBANDINGAN KINERJA KEUANGAN PEMERINTAH DAERAH ANTARA PEMERINTAH KABUPATEN DAN PEMERINTAH KOTA (STUDI KASUS PADA KABUPATEN/KOTA DI PULAU SUMATERA TAHUN 2015-2019),https://scholar.google.com/scholar?q=+intitle:'Similarity Check PERBANDINGAN KINERJA KEUANGAN PEMERINTAH DAERAH ANTARA PEMERINTAH KABUPATEN DAN PEMERINTAH KOTA (STUDI KASUS PADA KABUPATEN/KOTA DI PULAU SUMATERA TAHUN 2015-2019)',Tidak ditemukan,"Fakultas Ekonomi dan Bisnis Universitas Lampung, 2022",2022,0,similarity check perbandingan kinerja keuangan pemerintah daerah antara pemerintah kabupaten pemerintah kota studi kasus kabupatenkota pulau sumatera tahun 20152019,Kota dan Permukiman Berkelanjutan
