Title,URL,Creator,Journal,Year,Citations
Implementation of HOTS-Oriented Problem Based Learning on Science Literacy Ability,https://scholar.google.com/scholar?q=+intitle:'Implementation of HOTS-Oriented Problem Based Learning on Science Literacy Ability',Tidak ditemukan,"Jurnal Pendidikan Progresif 12 (3), 1492-1499, 2022",2022,4
Peningkatan jiwa entrepreneurship bagi pengelola media komunitas,https://scholar.google.com/scholar?q=+intitle:'Peningkatan jiwa entrepreneurship bagi pengelola media komunitas',Tidak ditemukan,"Al-Mu'awanah 3 (1), 1-11, 2022",2022,2
Civilisation In Character Formation Through Educational Institutions,https://scholar.google.com/scholar?q=+intitle:'Civilisation In Character Formation Through Educational Institutions',Tidak ditemukan,"Al-Akmal: Jurnal Studi Islam 1 (2), 38-51, 2022",2022,10
The Positive Impact of Internet-Based Resources to Encourage Students’ Vocabulary Aspect,https://scholar.google.com/scholar?q=+intitle:'The Positive Impact of Internet-Based Resources to Encourage Students’ Vocabulary Aspect',Tidak ditemukan,"Tapis: Jurnal Penelitian Ilmiah 6 (2), 166-175, 2022",2022,11
Pelatihan Budidaya Jamur Tiram Untuk Peningkatan Pendapatan Petani di Desa Bandar Sari,https://scholar.google.com/scholar?q=+intitle:'Pelatihan Budidaya Jamur Tiram Untuk Peningkatan Pendapatan Petani di Desa Bandar Sari',Tidak ditemukan,"Padang Ratu 1 (06), 664-670, 2022",2022,2
PERANCANG ULANG (REDESIGN) SISTEM STEERING PADA MOBIL ATV BUGGY,https://scholar.google.com/scholar?q=+intitle:'PERANCANG ULANG (REDESIGN) SISTEM STEERING PADA MOBIL ATV BUGGY',Tidak ditemukan,"Universitas Islam Kalimantan MAB, 2022",2022,0
Analisis Hirarki Kebutuhan Édith Piaf dalam Film La Vie En Rose Karya Olivier Dahan: Kajian Psikologi Humanistik Abraham Maslow,https://scholar.google.com/scholar?q=+intitle:'Analisis Hirarki Kebutuhan Édith Piaf dalam Film La Vie En Rose Karya Olivier Dahan: Kajian Psikologi Humanistik Abraham Maslow',Tidak ditemukan,"PRANALA (Jurnal Pendidikan Bahasa Prancis) 5 (2), 2022",2022,0
Feminisme dalam film Sœurs d'Arme karya Caroline Fourest,https://scholar.google.com/scholar?q=+intitle:'Feminisme dalam film Sœurs d'Arme karya Caroline Fourest',Tidak ditemukan,"PRANALA (Jurnal Pendidikan Bahasa Prancis) 5 (2), 2022",2022,0
Analisis Makna dan Pesan Moral dalam Album Lagu Racine Carrée Karya Stromae,https://scholar.google.com/scholar?q=+intitle:'Analisis Makna dan Pesan Moral dalam Album Lagu Racine Carrée Karya Stromae',Tidak ditemukan,"PRANALA (Jurnal Pendidikan Bahasa Prancis) 5 (2), 2022",2022,1
Penggunaan Media Aplikasi Mondly Untuk Meningkatkan Keterampilan Menyimak dalam Pembelajaran Bahasa Prancis di Kelas X SMAN 16 Bandar Lampung,https://scholar.google.com/scholar?q=+intitle:'Penggunaan Media Aplikasi Mondly Untuk Meningkatkan Keterampilan Menyimak dalam Pembelajaran Bahasa Prancis di Kelas X SMAN 16 Bandar Lampung',Tidak ditemukan,"FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN, 2022",2022,5
FEMINISME DALAM FILM SŒURS D'ARME KARYA CAROLINE FOUREST,https://scholar.google.com/scholar?q=+intitle:'FEMINISME DALAM FILM SŒURS D'ARME KARYA CAROLINE FOUREST',Tidak ditemukan,"FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN, 2022",2022,0
Analisis Hirarki Kebutuhan Édith Piaf dalam film La Vie En Rose Karya Olivier Dahan (Kajian Psikologi Humanistik Abraham Maslow),https://scholar.google.com/scholar?q=+intitle:'Analisis Hirarki Kebutuhan Édith Piaf dalam film La Vie En Rose Karya Olivier Dahan (Kajian Psikologi Humanistik Abraham Maslow)',Tidak ditemukan,"FAKULTAS KEGURUAN ILMU PENDIDIKAN, 2022",2022,1
Phonetic Error Analysis Of Speaking Skills In French Students Through Video Media.,https://scholar.google.com/scholar?q=+intitle:'Phonetic Error Analysis Of Speaking Skills In French Students Through Video Media.',Tidak ditemukan,"KATA 10 (2), 118-124, 2022",2022,0
Analisis Pengaruh Sistem Informasi Geografis Dalam Meningkatkan Kemampuan Berpikir Spasial (Spatial Thinking Ability),https://scholar.google.com/scholar?q=+intitle:'Analisis Pengaruh Sistem Informasi Geografis Dalam Meningkatkan Kemampuan Berpikir Spasial (Spatial Thinking Ability)',Tidak ditemukan,"Jurnal Penelitian Geografi (JPG) 10 (1), 2022",2022,2
Pengaruh Penerapan Pembelajaran Contextual Teaching And Learning (CTL) Pada Bidang Studi Al-Qur’an Hadist Terhadap Motivasi Belajar Siswa Kelas VIII MTs Madinatul Ilmi Lubuk …,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Penerapan Pembelajaran Contextual Teaching And Learning (CTL) Pada Bidang Studi Al-Qur’an Hadist Terhadap Motivasi Belajar Siswa Kelas VIII MTs Madinatul Ilmi Lubuk …',Tidak ditemukan,"Al-Ulum: Jurnal Pendidikan Islam 3 (2), 112-125, 2022",2022,0
Development of Virtual Tourism-Based Interactive Multimedia in Tourism Geography Learning,https://scholar.google.com/scholar?q=+intitle:'Development of Virtual Tourism-Based Interactive Multimedia in Tourism Geography Learning',Tidak ditemukan,"International Journal of Research and Review 9, 535-544, 2022",2022,1
Forecasting Model for State-Owned Bank Stock Prices During Pandemic: GARCH Model Application,https://scholar.google.com/scholar?q=+intitle:'Forecasting Model for State-Owned Bank Stock Prices During Pandemic: GARCH Model Application',Tidak ditemukan,"ICEBE 2021: Proceedings of the 4th International Conference of Economics …, 2022",2022,0
Analysis of the Impact of the Covid-19 Pandemic on the Financial Performance of Provincial Governments in Indonesia,https://scholar.google.com/scholar?q=+intitle:'Analysis of the Impact of the Covid-19 Pandemic on the Financial Performance of Provincial Governments in Indonesia',Tidak ditemukan,"ICEBE 2021: Proceedings of the 4th International Conference of Economics …, 2022",2022,0
The effect of sports performance and financial performance on European soccer club stock prices,https://scholar.google.com/scholar?q=+intitle:'The effect of sports performance and financial performance on European soccer club stock prices',Tidak ditemukan,,2022,15
Financial accountability on local government and regional economic growth,https://scholar.google.com/scholar?q=+intitle:'Financial accountability on local government and regional economic growth',Tidak ditemukan,"JPPI (Jurnal Penelitian Pendidikan Indonesia) 8 (3), 632-639, 2022",2022,5
Kinerja Pemerintah Daerah dan Political Budget: Pengaruhnya terhadap Perolehan Suara Incumbent pada Pemilukada,https://scholar.google.com/scholar?q=+intitle:'Kinerja Pemerintah Daerah dan Political Budget: Pengaruhnya terhadap Perolehan Suara Incumbent pada Pemilukada',Tidak ditemukan,"Penerbit NEM, 2022",2022,1
Pengaruh Insentif Terhadap Kinerja Karyawan dengan Kepuaan Kerja sebagai Variabel Mediasi (Studi Pada Karyawan Perhotelan Bintang 3 Di Provinsi Lampung),https://scholar.google.com/scholar?q=+intitle:'Pengaruh Insentif Terhadap Kinerja Karyawan dengan Kepuaan Kerja sebagai Variabel Mediasi (Studi Pada Karyawan Perhotelan Bintang 3 Di Provinsi Lampung)',Tidak ditemukan,"E-journal Field of Economics, Business and Entrepreneurship (EFEBE) 1 (2 …, 2022",2022,2
Pengaruh Kinerja Keuangan terhadap Nilai Perusahaan pada Perusahaan Digital Startup,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Kinerja Keuangan terhadap Nilai Perusahaan pada Perusahaan Digital Startup',Tidak ditemukan,"Goodwood Akuntansi dan Auditing Reviu 1 (1), 15-28, 2022",2022,13
"Pengaruh Political Visibility, Profitabilitas, Dan Leverage Perusahaan Terhadap Pengungkapan Corporate Social Responsibility (Studi Empiris Pada Industri Pertambangan Yang …","https://scholar.google.com/scholar?q=+intitle:'Pengaruh Political Visibility, Profitabilitas, Dan Leverage Perusahaan Terhadap Pengungkapan Corporate Social Responsibility (Studi Empiris Pada Industri Pertambangan Yang …'",Tidak ditemukan,"FAKULTAS EKONOMI DAN BISNIS, 2022",2022,0
Perbandingan Kinerja Keuangan Pemerintah Daerah Antara Pemerintah Kabupaten dan Pemerintah Kota (Studi Kasus Pada Kabupaten/Kota Di Pulau Sumatera Tahun 2015-2019),https://scholar.google.com/scholar?q=+intitle:'Perbandingan Kinerja Keuangan Pemerintah Daerah Antara Pemerintah Kabupaten dan Pemerintah Kota (Studi Kasus Pada Kabupaten/Kota Di Pulau Sumatera Tahun 2015-2019)',Tidak ditemukan,"E-journal Field of Economics, Business and Entrepreneurship (EFEBE) 1 (1), 59-70, 2022",2022,0
Does the social assistance budget realization affect incumbents' votes?(Study in Indonesia Local Election),https://scholar.google.com/scholar?q=+intitle:'Does the social assistance budget realization affect incumbents' votes?(Study in Indonesia Local Election)',Tidak ditemukan,"International Journal of Professional Business Review: Int. J. Prof. Bus …, 2022",2022,3
"Transparansi, Hasil Audit Laporan Keuangan dan Korupsi pada Pemerintah Provinsi di Indonesia","https://scholar.google.com/scholar?q=+intitle:'Transparansi, Hasil Audit Laporan Keuangan dan Korupsi pada Pemerintah Provinsi di Indonesia'",Tidak ditemukan,"E-Jurnal Akuntansi 32 (9), 2721-2735, 2022",2022,6
Fraud Detection of Financial Statements through the Fraud Hexagon Approach in Indonesian SOEs,https://scholar.google.com/scholar?q=+intitle:'Fraud Detection of Financial Statements through the Fraud Hexagon Approach in Indonesian SOEs',Tidak ditemukan,"Asian Journal of Economics, Business and Accounting 22 (22), 45-58, 2022",2022,5
Similarity Check DOES THE SOCIAL ASSISTANCE BUDGET REALIZATION AFFECT INCUMBENTS'VOTES?(STUDY IN INDONESIA LOCAL ELECTION),https://scholar.google.com/scholar?q=+intitle:'Similarity Check DOES THE SOCIAL ASSISTANCE BUDGET REALIZATION AFFECT INCUMBENTS'VOTES?(STUDY IN INDONESIA LOCAL ELECTION)',Tidak ditemukan,"JPB Review, 2022",2022,0
Similarity Check PENGARUH CORPORATE GOVERNANCE DAN INTELLECTUAL CAPITAL TERHADAP NILAI PERUSAHAAN,https://scholar.google.com/scholar?q=+intitle:'Similarity Check PENGARUH CORPORATE GOVERNANCE DAN INTELLECTUAL CAPITAL TERHADAP NILAI PERUSAHAAN',Tidak ditemukan,"Fakultas Ekonomi dan Bisnis Universitas Lampung, 2022",2022,0
Similarity Check Pengaruh Kinerja Keuangan terhadap Nilai Perusahaan pada Perusahaan Digital Startup (The Effect of Financial Performance on Company Value in Digital Startup …,https://scholar.google.com/scholar?q=+intitle:'Similarity Check Pengaruh Kinerja Keuangan terhadap Nilai Perusahaan pada Perusahaan Digital Startup (The Effect of Financial Performance on Company Value in Digital Startup …',Tidak ditemukan,"Penerbit Goodwood, 2022",2022,0
Similarity Check Pengaruh Board Diversity Terhadap Konservatisme Akuntansi (Studi Empiris Pada Perusahaan Yang Terdaftar Di Bursa Efek Indonesia 2017-2019),https://scholar.google.com/scholar?q=+intitle:'Similarity Check Pengaruh Board Diversity Terhadap Konservatisme Akuntansi (Studi Empiris Pada Perusahaan Yang Terdaftar Di Bursa Efek Indonesia 2017-2019)',Tidak ditemukan,"Faculty of Economics Department Universitas Widyatama, 2022",2022,0
Similarity Report Financial accountability on local government and regional economic growth,https://scholar.google.com/scholar?q=+intitle:'Similarity Report Financial accountability on local government and regional economic growth',Tidak ditemukan,"Indonesian Institute for Counseling, Education and Theraphy, 2022",2022,0
"Similarity Check Transparansi, Hasil Audit Laporan Keuangan dan Korupsi pada Pemerintah Provinsi di Indonesia","https://scholar.google.com/scholar?q=+intitle:'Similarity Check Transparansi, Hasil Audit Laporan Keuangan dan Korupsi pada Pemerintah Provinsi di Indonesia'",Tidak ditemukan,"Accounting Department, Faculty of Economics and Business, Udayana University, 2022",2022,0
Similariy Report Implementation of Discretionary Accrual in Local Governments and Motivation of Local Government Incentives: Literature Review,https://scholar.google.com/scholar?q=+intitle:'Similariy Report Implementation of Discretionary Accrual in Local Governments and Motivation of Local Government Incentives: Literature Review',Tidak ditemukan,"SCIENCEDOMAIN INTERNATIONAL, 2022",2022,0
Similarity Check The effect of sports performance and financial performance on European soccer club stock prices,https://scholar.google.com/scholar?q=+intitle:'Similarity Check The effect of sports performance and financial performance on European soccer club stock prices',Tidak ditemukan,"Lighthouse Publishing, 2022",2022,0
Similarity Check PENGARUH INSENTIF TERHADAP KINERJA KARYAWAN DENGAN KEPUAAN KERJA SEBAGAI VARIABEL MEDIASI (Studi pada Karyawan Perhotelan Bintang 3 di Provinsi Lampung),https://scholar.google.com/scholar?q=+intitle:'Similarity Check PENGARUH INSENTIF TERHADAP KINERJA KARYAWAN DENGAN KEPUAAN KERJA SEBAGAI VARIABEL MEDIASI (Studi pada Karyawan Perhotelan Bintang 3 di Provinsi Lampung)',Tidak ditemukan,"Fakultas Ekonomi dan Bisnis Universitas Lampung, 2022",2022,0
Similarity Report Fraud Detection of Financial Statements through the Fraud Hexagon Approach in Indonesian SOEs,https://scholar.google.com/scholar?q=+intitle:'Similarity Report Fraud Detection of Financial Statements through the Fraud Hexagon Approach in Indonesian SOEs',Tidak ditemukan,"SCIENCEDOMAIN INTERNATIONAL, 2022",2022,0
Similarity Check PERBANDINGAN KINERJA KEUANGAN PEMERINTAH DAERAH ANTARA PEMERINTAH KABUPATEN DAN PEMERINTAH KOTA (STUDI KASUS PADA KABUPATEN/KOTA DI PULAU SUMATERA TAHUN 2015-2019),https://scholar.google.com/scholar?q=+intitle:'Similarity Check PERBANDINGAN KINERJA KEUANGAN PEMERINTAH DAERAH ANTARA PEMERINTAH KABUPATEN DAN PEMERINTAH KOTA (STUDI KASUS PADA KABUPATEN/KOTA DI PULAU SUMATERA TAHUN 2015-2019)',Tidak ditemukan,"Fakultas Ekonomi dan Bisnis Universitas Lampung, 2022",2022,0
Similarity Report Forecasting Model for State-Owned Bank Stock Prices During Pandemic: GARCH Model Application,https://scholar.google.com/scholar?q=+intitle:'Similarity Report Forecasting Model for State-Owned Bank Stock Prices During Pandemic: GARCH Model Application',Tidak ditemukan,"European Union Digital Library, 2022",2022,0
Similarity Check Research of Tax Avoidance in Indonesia: A Bibliographic Study,https://scholar.google.com/scholar?q=+intitle:'Similarity Check Research of Tax Avoidance in Indonesia: A Bibliographic Study',Tidak ditemukan,"SCIENCEDOMAIN INTERNATIONAL, 2022",2022,0
Similarity Report Analysis of the Impact of the Covid-19 Pandemic on the Financial Performance of Provincial Governments in Indonesia,https://scholar.google.com/scholar?q=+intitle:'Similarity Report Analysis of the Impact of the Covid-19 Pandemic on the Financial Performance of Provincial Governments in Indonesia',Tidak ditemukan,"European Union Digital Library, 2022",2022,0
Research of Tax Avoidance in Indonesia: A Bibliographic Study,https://scholar.google.com/scholar?q=+intitle:'Research of Tax Avoidance in Indonesia: A Bibliographic Study',Tidak ditemukan,"Asian Journal of Economics, Business and Accounting 22 (8), 53-67, 2022",2022,1
Factors affecting the use of quick response code indonesian standard (qris) with the unified theory of acceptance and use of technology model,https://scholar.google.com/scholar?q=+intitle:'Factors affecting the use of quick response code indonesian standard (qris) with the unified theory of acceptance and use of technology model',Tidak ditemukan,"International Journal of Innovative Science and Research Technology 7 (1), 2022",2022,11
Similarity Check PENGARUH INTELLECTUAL CAPITAL TERHADAP NILAI PERUSAHAAN SAAT PANDEMI COVID 19 DENGAN PROFITABILITAS SEBAGAI VARIABEL MODERASI (STUDI EMPIRIS PADA PEUSAHAAN …,https://scholar.google.com/scholar?q=+intitle:'Similarity Check PENGARUH INTELLECTUAL CAPITAL TERHADAP NILAI PERUSAHAAN SAAT PANDEMI COVID 19 DENGAN PROFITABILITAS SEBAGAI VARIABEL MODERASI (STUDI EMPIRIS PADA PEUSAHAAN …',Tidak ditemukan,"Faculty of Economics Department Universitas Widyatama, 2022",2022,0
"Similarity Check Pengaruh Political Visibility, Profitabilitas, Dan Leverage Perusahaan Terhadap Pengungkapan Corporate Social Responsibility (Studi Empiris Pada Industri …","https://scholar.google.com/scholar?q=+intitle:'Similarity Check Pengaruh Political Visibility, Profitabilitas, Dan Leverage Perusahaan Terhadap Pengungkapan Corporate Social Responsibility (Studi Empiris Pada Industri …'",Tidak ditemukan,"Universitas Bandar Lampung, 2022",2022,0
"Transparansi, Hasil Audit Laporan Keuangan, dan Korupsi pada Pemerintah Provinsi di Indonesia","https://scholar.google.com/scholar?q=+intitle:'Transparansi, Hasil Audit Laporan Keuangan, dan Korupsi pada Pemerintah Provinsi di Indonesia'",Tidak ditemukan,"E-Jurnal Akuntansi 32 (9), 2721-2735, 2022",2022,11
Pengaruh Kinerja Keuangan terhadap Nilai Perusahaan pada Perusahaan Digital Startup (The Effect of Financial Performance on Company Value in Digital Startup Companies),https://scholar.google.com/scholar?q=+intitle:'Pengaruh Kinerja Keuangan terhadap Nilai Perusahaan pada Perusahaan Digital Startup (The Effect of Financial Performance on Company Value in Digital Startup Companies)',Tidak ditemukan,,2022,1
"Analysis of the Quality of Corporate Information Disclosure: Relevance, Credibility, and Readability in the Digital Disclosure Environment (A Critical Study on the …","https://scholar.google.com/scholar?q=+intitle:'Analysis of the Quality of Corporate Information Disclosure: Relevance, Credibility, and Readability in the Digital Disclosure Environment (A Critical Study on the …'",Tidak ditemukan,"-, 2022",2022,0
Analisis Kecurangan Laporan Keuangan Menurut Hexagon Fraud Model Pada Perusahaan Bumn Tahun 2016-2020,https://scholar.google.com/scholar?q=+intitle:'Analisis Kecurangan Laporan Keuangan Menurut Hexagon Fraud Model Pada Perusahaan Bumn Tahun 2016-2020',Tidak ditemukan,"FAKULTAS EKONOMI DAN BISNIS, 2022",2022,10
"Strategi Keterbacaan Pengungkapan Informasi, Peran Media Sosial dan Kredibilitas Informasi terhadap Penilaian Investasi Saham (Sebuah Studi Eksperimen Berbasis Web)","https://scholar.google.com/scholar?q=+intitle:'Strategi Keterbacaan Pengungkapan Informasi, Peran Media Sosial dan Kredibilitas Informasi terhadap Penilaian Investasi Saham (Sebuah Studi Eksperimen Berbasis Web)'",Tidak ditemukan,"Universitas Gadjah Mada, 2022",2022,0
"The initiation study on the gold potential resources at West Coast Area in Lampung Province, Indonesia","https://scholar.google.com/scholar?q=+intitle:'The initiation study on the gold potential resources at West Coast Area in Lampung Province, Indonesia'",Tidak ditemukan,"Journal of Engineering and Scientific Research 4 (1), 40-44, 2022",2022,1
"Relocated Seismicity in Bakauheni, Lampung and It’s Implication with Local Fault Activity","https://scholar.google.com/scholar?q=+intitle:'Relocated Seismicity in Bakauheni, Lampung and It’s Implication with Local Fault Activity'",Tidak ditemukan,"THE 4th INTERNATIONAL SEMINAR ON SCIENCES AND TECHNOLOGY 1 (1), 2022",2022,0
Validasi Pengaruh Jumlah Partisi dalam Perhitungan Metode Integrasi Numerik Terhadap Tingkat Akurasi dan Galat Menggunakan Matlab (Studi Kasus: Riemann Kiri dan Aturan Trapesium),https://scholar.google.com/scholar?q=+intitle:'Validasi Pengaruh Jumlah Partisi dalam Perhitungan Metode Integrasi Numerik Terhadap Tingkat Akurasi dan Galat Menggunakan Matlab (Studi Kasus: Riemann Kiri dan Aturan Trapesium)',Tidak ditemukan,"Asimtot: Jurnal Kependidikan Matematika 4 (1), 51-61, 2022",2022,3
Analysis of H-Component of Geomagnetic Variation in Indonesian Region,https://scholar.google.com/scholar?q=+intitle:'Analysis of H-Component of Geomagnetic Variation in Indonesian Region',Tidak ditemukan,"Proceedings of the 2022 International Conference on Computer, Control …, 2022",2022,1
Koresponden Author Prosiding HAGI 2022,https://scholar.google.com/scholar?q=+intitle:'Koresponden Author Prosiding HAGI 2022',Tidak ditemukan,"Himpunan Ahli Geofisika Indonesia, 2022",2022,0
